"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"WP5269","WP5269","Genetic causes of porto-sinusoidal vascular disease","4/604","37/9131",0.226824010666152,0.47568025426262,0.373795758250786,"4790/51523/3516/5879",4
"WP1981","WP1981","Thyroxine (thyroid hormone) production","3/604","25/9131",0.227179595930679,0.47568025426262,0.373795758250786,"5578/4790/5604",3
"WP2249","WP2249","Metastatic brain tumor","3/604","25/9131",0.227179595930679,0.47568025426262,0.373795758250786,"1871/407040/1021",3
"WP5501","WP5501","GNAQ p.R183Q drives capillary malformation","3/604","25/9131",0.227179595930679,0.47568025426262,0.373795758250786,"5578/5581/2776",3
"WP185","WP185","Integrin-mediated cell adhesion","9/604","102/9131",0.232139836984812,0.484498304932817,0.380725097669488,"7410/5062/8874/7145/3694/5604/5829/5879/10000",9
"WP3930","WP3930","EDA signaling in hair follicle development","2/604","14/9131",0.235931697831746,0.489255796465191,0.384463596669141,"128178/5971",2
"WP4240","WP4240","Regulation of sister chromatid separation at the metaphase-anaphase transition","2/604","14/9131",0.235931697831746,0.489255796465191,0.384463596669141,"8379/9126",2
"WP26","WP26","S1P receptor signal transduction","3/604","26/9131",0.245188377738437,0.497294295914636,0.390780354554249,"5287/1901/10000",3
"WP3658","WP3658","Wnt/beta-catenin signaling in leukemia","3/604","26/9131",0.245188377738437,0.497294295914636,0.390780354554249,"2322/6929/7704",3
"WP4726","WP4726","Sphingolipid metabolism: integrated pathway","3/604","26/9131",0.245188377738437,0.497294295914636,0.390780354554249,"9517/253782/79603",3
"WP5216","WP5216","Warburg effect modulated by deubiquitinating enzymes and their substrates","3/604","26/9131",0.245188377738437,0.497294295914636,0.390780354554249,"2308/6513/5290",3
"WP530","WP530","Cytokines and inflammatory response","3/604","26/9131",0.245188377738437,0.497294295914636,0.390780354554249,"3600/3123/3574",3
"WP5385","WP5385","Growth factors and hormones in beta cell proliferation","3/604","26/9131",0.245188377738437,0.497294295914636,0.390780354554249,"2308/4092/10000",3
"WP5494","WP5494","Tyrosine kinase inhibitors in glioblastoma","3/604","26/9131",0.245188377738437,0.497294295914636,0.390780354554249,"5728/3716/10000",3
"WP2267","WP2267","Synaptic vesicle pathway","5/604","51/9131",0.24643419239123,0.498259132741019,0.391538535937383,"6570/26052/6507/81539/5864",5
"WP5224","WP5224","2q37 copy number variation syndrome","12/604","145/9131",0.251191477821955,0.506295595485373,0.397853693353023,"1915/10267/7852/9267/4792/57007/7187/8837/11345/27128/8527/5879",12
"WP3","WP3","Transcriptional activation by NRF2 in response to phytochemicals","2/604","15/9131",0.26111314425686,0.521420383747495,0.409738949564858,"5578/5290",2
"WP4584","WP4584","Biomarkers for pyrimidine metabolism disorders","2/604","15/9131",0.26111314425686,0.521420383747495,0.409738949564858,"51733/1807",2
"WP5367","WP5367","Rubinstein-Taybi syndrome 1","2/604","15/9131",0.26111314425686,0.521420383747495,0.409738949564858,"2308/8202",2
"WP4725","WP4725","Sphingolipid metabolism overview","3/604","27/9131",0.263410113473484,0.522780194531731,0.410807506644149,"9517/253782/79603",3
"WP4767","WP4767","FGFR3 signaling in chondrocyte proliferation and terminal differentiation","3/604","27/9131",0.263410113473484,0.522780194531731,0.410807506644149,"1026/5604/5600",3
"WP3680","WP3680","Physico-chemical features and toxicity-associated pathways","6/604","66/9131",0.270110758929254,0.534439330358494,0.419969407895798,"10097/1026/10096/5604/6776/5216",6
"WP3286","WP3286","Copper homeostasis","5/604","53/9131",0.272010640412427,0.536557574228171,0.421633951602061,"2308/5728/150684/2309/5290",5
"WP4746","WP4746","Thyroid hormones production and peripheral downstream signaling effects","8/604","94/9131",0.281959335681281,0.554491459531272,0.435726632967713,"9882/11343/6256/2308/5604/8458/10000/5290",8
"WP2291","WP2291","Deregulation of Rab and Rab effector genes in bladder cancer","2/604","16/9131",0.28631155931164,0.55796258697178,0.438454290258472,"23086/83874",2
"WP2435","WP2435","Quercetin and Nf-kB / AP-1 induced apoptosis","2/604","16/9131",0.28631155931164,0.55796258697178,0.438454290258472,"4790/4792",2
"WP4962","WP4962","Airway smooth muscle cell contraction","2/604","16/9131",0.28631155931164,0.55796258697178,0.438454290258472,"952/2776",2
"WP2795","WP2795","Cardiac hypertrophic response","5/604","55/9131",0.298115323246668,0.574973305562302,0.45182153516081,"5578/4790/5604/5879/4214",5
"WP2870","WP2870","Extracellular vesicle-mediated signaling in recipient cells","3/604","29/9131",0.300277799076337,0.574973305562302,0.45182153516081,"7474/7049/4088",3
"WP3965","WP3965","Lipid metabolism pathway","3/604","29/9131",0.300277799076337,0.574973305562302,0.45182153516081,"51422/5576/10000",3
"WP5176","WP5176","Disorders of bile acid synthesis and biliary transport","3/604","29/9131",0.300277799076337,0.574973305562302,0.45182153516081,"10257/200931/9420",3
"WP5502","WP5502","16p13.11 copy number variation syndrome ","3/604","29/9131",0.300277799076337,0.574973305562302,0.45182153516081,"5325/54820/4363",3
"WP4148","WP4148","Splicing factor NOVA regulated synaptic proteins","4/604","42/9131",0.301261129189522,0.574973305562302,0.45182153516081,"23332/1600/1946/2902",4
"WP4290","WP4290","Metabolic reprogramming in colon cancer","4/604","42/9131",0.301261129189522,0.574973305562302,0.45182153516081,"50/2744/6513/2023",4
"WP2289","WP2289","Drug induction of bile acid pathway","2/604","17/9131",0.311414691275667,0.58232747183629,0.457600535096279,"10257/200931",2
"WP3413","WP3413","NOTCH1 regulation of endothelial cell calcification","2/604","17/9131",0.311414691275667,0.58232747183629,0.457600535096279,"182/1902",2
"WP3853","WP3853","ERK pathway in Huntington's disease","2/604","17/9131",0.311414691275667,0.58232747183629,0.457600535096279,"5604/840",2
"WP3874","WP3874","Canonical and non-canonical TGF-B signaling","2/604","17/9131",0.311414691275667,0.58232747183629,0.457600535096279,"4017/4088",2
"WP3935","WP3935","Leptin-insulin signaling overlap","2/604","17/9131",0.311414691275667,0.58232747183629,0.457600535096279,"8835/8651",2
"WP4872","WP4872","MAP3K1 role in promoting and blocking gonadal determination","2/604","17/9131",0.311414691275667,0.58232747183629,0.457600535096279,"5600/4214",2
"WP5372","WP5372","Involvement of δ-secretase in neurodegenerative diseases","2/604","17/9131",0.311414691275667,0.58232747183629,0.457600535096279,"5641/10000",2
"WP5380","WP5380","5q35 copy number variation","9/604","111/9131",0.312741501475033,0.583123203038462,0.458225831070653,"7852/5799/2549/9423/8726/3635/4648/2902/10636",9
"WP5198","WP5198","Inflammatory bowel disease signaling","4/604","43/9131",0.316528039960823,0.587688810207346,0.461813544830632,"6095/4790/50615/3566",4
"WP2533","WP2533","Glycerophospholipid biosynthetic pathway","3/604","30/9131",0.318823450359781,0.587688810207346,0.461813544830632,"9489/5293/5290",3
"WP4923","WP4923","Autophagy","3/604","30/9131",0.318823450359781,0.587688810207346,0.461813544830632,"51422/7405/26100",3
"WP5102","WP5102","Familial partial lipodystrophy","3/604","30/9131",0.318823450359781,0.587688810207346,0.461813544830632,"11343/84823/5290",3
"WP4917","WP4917","Proximal tubule transport","5/604","57/9131",0.324600829884521,0.596638457202514,0.468846294360716,"8992/10257/6513/523/6550",5
"WP3877","WP3877","MYD88 distinct input-output pathway","2/604","18/9131",0.336325018846728,0.608038740093735,0.477804785593873,"4790/7189",2
"WP4560","WP4560","MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement","2/604","18/9131",0.336325018846728,0.608038740093735,0.477804785593873,"3708/5829",2
"WP5101","WP5101","Congenital generalized lipodystrophy","2/604","18/9131",0.336325018846728,0.608038740093735,0.477804785593873,"64900/5290",2
"WP5174","WP5174","Ulcerative colitis signaling","2/604","18/9131",0.336325018846728,0.608038740093735,0.477804785593873,"4790/3566",2
"WP4204","WP4204","Tumor suppressor activity of SMARCB1","3/604","31/9131",0.337381619310125,0.608038740093735,0.477804785593873,"8726/1021/6605",3
"WP4912","WP4912","SARS coronavirus and innate immunity","3/604","31/9131",0.337381619310125,0.608038740093735,0.477804785593873,"7187/3716/7098",3
"WP5122","WP5122","Prostaglandin and leukotriene metabolism in senescence ","3/604","31/9131",0.337381619310125,0.608038740093735,0.477804785593873,"1026/2776/5600",3
"WP268","WP268","Notch signaling","4/604","45/9131",0.347220253843642,0.620584265847614,0.487663223630355,"182/9612/3516/3955",4
"WP2873","WP2873","Aryl hydrocarbon receptor pathway","4/604","45/9131",0.347220253843642,0.620584265847614,0.487663223630355,"10728/51426/11140/57491",4
"WP98","WP98","Prostaglandin synthesis and regulation","4/604","45/9131",0.347220253843642,0.620584265847614,0.487663223630355,"309/10257/3290/301",4
"WP3584","WP3584","MECP2 and associated Rett syndrome","6/604","73/9131",0.35274681421294,0.628725038004883,0.494060348745397,"5978/200424/9126/4661/5728/2902",6
"WP2363","WP2363","Gastric cancer network 2","3/604","32/9131",0.355909479163017,0.629162385296371,0.494404021960705,"51316/255488/84823",3
"WP5113","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway","3/604","32/9131",0.355909479163017,0.629162385296371,0.494404021960705,"4790/4792/6256",3
"WP727","WP727","Monoamine transport","3/604","32/9131",0.355909479163017,0.629162385296371,0.494404021960705,"43/3554/5819",3
"WP2879","WP2879","Farnesoid X receptor pathway","2/604","19/9131",0.360958298797359,0.629487922700515,0.494659833505815,"6256/11309",2
"WP4478","WP4478","LTF danger signal response pathway","2/604","19/9131",0.360958298797359,0.629487922700515,0.494659833505815,"4790/7189",2
"WP4707","WP4707","Aspirin and miRNAs","2/604","19/9131",0.360958298797359,0.629487922700515,0.494659833505815,"4790/10257",2
"WP5360","WP5360","KCNQ2-related epilepsies","2/604","19/9131",0.360958298797359,0.629487922700515,0.494659833505815,"5578/3708",2
"WP734","WP734","Serotonin receptor 4/6/7 and NR3C signaling","2/604","19/9131",0.360958298797359,0.629487922700515,0.494659833505815,"3360/5604",2
"WP2197","WP2197","Endothelin pathways","3/604","33/9131",0.374367156185971,0.651117070033127,0.511656300050436,"10267/5578/5604",3
"WP4008","WP4008","NO/cGMP/PKG mediated neuroprotection","4/604","47/9131",0.377955088417118,0.652435494714005,0.512692335389025,"596/4790/4792/2902",4
"WP5347","WP5347","IL26 signaling","4/604","47/9131",0.377955088417118,0.652435494714005,0.512692335389025,"3383/4792/3716/5290",4
"WP5352","WP5352","10q11.21q11.23 copy number variation syndrome","5/604","61/9131",0.378150402654949,0.652435494714005,0.512692335389025,"596/57705/3299/4641/58504",5
"WP247","WP247","Small ligand GPCRs","2/604","20/9131",0.385242240822632,0.657656279187976,0.516794896034805,"1901/1902",2
"WP4225","WP4225","Pyrimidine metabolism and related diseases","2/604","20/9131",0.385242240822632,0.657656279187976,0.516794896034805,"51733/1807",2
"WP5146","WP5146","Lung pathology of COVID-19","2/604","20/9131",0.385242240822632,0.657656279187976,0.516794896034805,"4790/7098",2
"WP5492","WP5492","AMPK regulation of mammary milk protein synthesis","2/604","20/9131",0.385242240822632,0.657656279187976,0.516794896034805,"51422/1977",2
"WP4241","WP4241","Type 2 papillary renal cell carcinoma","3/604","34/9131",0.392717701484524,0.662634627954748,0.520706947534602,"7942/6513/1026",3
"WP4900","WP4900","Purinergic signaling","3/604","34/9131",0.392717701484524,0.662634627954748,0.520706947534602,"286530/5026/134",3
"WP5321","WP5321","Prostaglandin and leukotriene metabolism in senescence ","3/604","34/9131",0.392717701484524,0.662634627954748,0.520706947534602,"1026/2776/5600",3
"WP410","WP410","Exercise-induced circadian regulation","4/604","48/9131",0.393279284597563,0.662634627954748,0.520706947534602,"26059/2120/11030/2950",4
"WP4312","WP4312","Rett syndrome","4/604","48/9131",0.393279284597563,0.662634627954748,0.520706947534602,"6925/79718/3097/9612",4
"WP2431","WP2431","Spinal cord injury","9/604","121/9131",0.407905705921328,0.678711791152717,0.533340592413182,"64131/5578/3383/9423/3554/2309/2902/301/5879",9
"WP4300","WP4300","Extracellular vesicles in the crosstalk of cardiac cells","2/604","21/9131",0.409115299149242,0.678711791152717,0.533340592413182,"5728/3315",2
"WP4884","WP4884","Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex","2/604","21/9131",0.409115299149242,0.678711791152717,0.533340592413182,"919/3123",2
"WP5066","WP5066","FOXA2 pathway","2/604","21/9131",0.409115299149242,0.678711791152717,0.533340592413182,"10257/2308",2
"WP5292","WP5292","Glycosphingolipid metabolism","2/604","21/9131",0.409115299149242,0.678711791152717,0.533340592413182,"9331/2583",2
"WP5376","WP5376","17p13.3 (YWHAE) copy number variation","2/604","21/9131",0.409115299149242,0.678711791152717,0.533340592413182,"7531/10971",2
"WP5115","WP5115","Network map of SARS-CoV-2 signaling","18/604","254/9131",0.415806337862792,0.68804782761439,0.540676971833971,"60/6351/54541/8554/1843/919/7187/3716/7186/22861/629/3123/6367/11345/1977/5879/3574/7189",18
"WP4549","WP4549","Fragile X syndrome","9/604","122/9131",0.417523853793008,0.689127381132848,0.541525299092436,"1915/5578/2549/3708/5728/2915/5604/2902/1977",9
"WP2369","WP2369","Histone modifications","5/604","65/9131",0.431603323177817,0.704896837854832,0.553917144202203,"7799/8726/84444/55870/114826",5
"WP3651","WP3651","Pathways affected in adenoid cystic carcinoma","5/604","65/9131",0.431603323177817,0.704896837854832,0.553917144202203,"5728/2309/4602/6605/5290",5
"WP4313","WP4313","Ferroptosis","5/604","65/9131",0.431603323177817,0.704896837854832,0.553917144202203,"7037/81539/1803/571/3315",5
"WP3599","WP3599","Transcription factor regulation in adipogenesis","2/604","22/9131",0.432525571295778,0.704896837854832,0.553917144202203,"6256/2308",2
"WP4760","WP4760","PKC-gamma calcium signaling in ataxia","2/604","22/9131",0.432525571295778,0.704896837854832,0.553917144202203,"3708/2776",2
"WP5205","WP5205","Clock-controlled autophagy in bone metabolism","6/604","80/9131",0.436992391529458,0.710387128943616,0.558231486666829,"596/7474/860/10507/8792/7189",6
"WP4558","WP4558","Interferon-mediated signaling","3/604","37/9131",0.446799789594961,0.724509934506114,0.569329371783053,"5578/3716/5290",3
"WP4357","WP4357","NRF2-ARE regulation","2/604","23/9131",0.455429795131506,0.734820642020161,0.577431660450237,"5578/5290",2
"WP4790","WP4790","FGF23 signaling in hypophosphatemic rickets and related disorders","2/604","23/9131",0.455429795131506,0.734820642020161,0.577431660450237,"4790/1026",2
"WP3391","WP3391","Senescence-associated secretory phenotype (SASP)","8/604","112/9131",0.464296879743235,0.745589268493113,0.585893787817739,"6195/4790/7324/51433/1026/7316/1021/6233",8
"WP4829","WP4829","mBDNF and proBDNF regulation of GABA neurotransmission","3/604","38/9131",0.464408771565262,0.745589268493113,0.585893787817739,"5728/1390/5290",3
"WP2406","WP2406","Cardiac progenitor differentiation","4/604","53/9131",0.468634327595141,0.750510915727862,0.589761282512905,"7852/5156/145873/140885",4
"WP5124","WP5124","Alzheimer's disease","18/604","263/9131",0.475908596295031,0.757675750352977,0.595391503165196,"7474/51806/4790/3708/7186/2776/26100/1454/7416/5293/5604/2902/80326/840/22926/84617/10000/5290",18
"WP1539","WP1539","Angiogenesis","2/604","24/9131",0.477792436080394,0.757675750352977,0.595391503165196,"5156/5290",2
"WP4288","WP4288","MTHFR deficiency","2/604","24/9131",0.477792436080394,0.757675750352977,0.595391503165196,"1788/2902",2
"WP5443","WP5443","Effects of MFN2 mutation","2/604","24/9131",0.477792436080394,0.757675750352977,0.595391503165196,"7879/5864",2
"WP5381","WP5381","Smith-Magenis and Potocki-Lupski syndrome copy number variation","11/604","159/9131",0.484117973367663,0.765829654691634,0.601798947719937,"51422/84223/4790/4289/7942/23274/2665/4659/5728/146691/329",11
"WP1531","WP1531","Vitamin D metabolism","1/604","10/9131",0.495771387534025,0.778553611006102,0.611797598822008,"6256",1
"WP2113","WP2113","Type III interferon signaling","1/604","10/9131",0.495771387534025,0.778553611006102,0.611797598822008,"3716",1
"WP2874","WP2874","Liver X receptor pathway","1/604","10/9131",0.495771387534025,0.778553611006102,0.611797598822008,"6256",1
"WP2828","WP2828","Bladder cancer","3/604","40/9131",0.498855084277039,0.781499369315361,0.614112414185828,"1612/1026/5604",3
"WP2571","WP2571","Polycystic kidney disease pathway","6/604","86/9131",0.507601683398958,0.788865653938537,0.619900936878408,"6195/51422/7474/6794/2776/80326",6
"WP4018","WP4018","Clear cell renal cell carcinoma pathways","6/604","86/9131",0.507601683398958,0.788865653938537,0.619900936878408,"5156/8082/5728/6513/2023/6935",6
"WP4222","WP4222","Phosphodiesterases in neuronal function","4/604","56/9131",0.512199348114388,0.788865653938537,0.619900936878408,"8622/115/5151/2902",4
"WP5417","WP5417","Cell lineage map for neuronal differentiation","9/604","132/9131",0.512561315605397,0.788865653938537,0.619900936878408,"23085/2744/6285/6507/9699/43/2902/8927/6506",9
"WP399","WP399","Wnt signaling and pluripotency","7/604","102/9131",0.516522485295541,0.788865653938537,0.619900936878408,"7474/5578/5527/5581/960/1454/80326",7
"WP5500","WP5500","Bempedoic acid therapy in atherosclerosis and metabolic syndrome","2/604","26/9131",0.520784563565022,0.788865653938537,0.619900936878408,"51422/5600",2
"WP5503","WP5503","Albuterol and budesonide therapy for asthma","2/604","26/9131",0.520784563565022,0.788865653938537,0.619900936878408,"115/5576",2
"WP2572","WP2572","Primary focal segmental glomerulosclerosis (FSGS)","5/604","72/9131",0.522237557749763,0.788865653938537,0.619900936878408,"11346/1026/182/941/10971",5
"WP4879","WP4879","Overlap between signal transduction pathways contributing to LMNA laminopathies","4/604","57/9131",0.526357726848718,0.788865653938537,0.619900936878408,"60/860/1026/4088",4
"WP1455","WP1455","Serotonin transporter activity","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"3554",1
"WP3297","WP3297","EV release from cardiac cells and their functional effects","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"4602",1
"WP4147","WP4147","PTF1A related regulatory pathway","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"3516",1
"WP4157","WP4157","GABA metabolism (aka GHB)","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"2744",1
"WP4524","WP4524","Alternative pathway of fetal androgen synthesis","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"1528",1
"WP5049","WP5049","Glycolysis in senescence","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"2023",1
"WP5118","WP5118","SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"9126",1
"WP5120","WP5120","Inclusion body myositis","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"4790",1
"WP5233","WP5233","Arsenic metabolism and reactive oxygen species generation","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"7416",1
"WP5399","WP5399","NPHP1 deletion syndrome","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"2185",1
"WP5414","WP5414","IDO metabolic pathway","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"169355",1
"WP80","WP80","Nucleotide GPCRs","1/604","11/9131",0.529161814233888,0.788865653938537,0.619900936878408,"134",1
"WP2035","WP2035","Follicle stimulating hormone (FSH) signaling","2/604","27/9131",0.541374519572346,0.803369986613091,0.631298630983687,"5578/2308",2
"WP5064","WP5064","7-oxo-C and 7-beta-HC pathways","2/604","27/9131",0.541374519572346,0.803369986613091,0.631298630983687,"11332/3290",2
"WP4541","WP4541","Hippo-Merlin signaling dysregulation","8/604","121/9131",0.553307572236483,0.814703154070623,0.640204382032231,"2322/5062/5156/4659/3694/960/5576/6788",8
"WP5407","WP5407","15q11q13 copy number variation","4/604","59/9131",0.55405919733762,0.814703154070623,0.640204382032231,"57530/286053/197370/9414",4
"WP1425","WP1425","Bone morphogenic protein signaling and regulation","1/604","12/9131",0.560344518642082,0.814703154070623,0.640204382032231,"860",1
"WP2007","WP2007","Iron metabolism in placenta","1/604","12/9131",0.560344518642082,0.814703154070623,0.640204382032231,"7037",1
"WP229","WP229","Irinotecan pathway","1/604","12/9131",0.560344518642082,0.814703154070623,0.640204382032231,"4363",1
"WP4495","WP4495","IL10 anti-inflammatory signaling","1/604","12/9131",0.560344518642082,0.814703154070623,0.640204382032231,"3716",1
"WP5148","WP5148","Complement-mediated inflammation of pulmonary alveolus in COVID-19 (hypothetical pathway)","1/604","12/9131",0.560344518642082,0.814703154070623,0.640204382032231,"728",1
"WP5150","WP5150","Spina bifida","1/604","12/9131",0.560344518642082,0.814703154070623,0.640204382032231,"1788",1
"WP5199","WP5199","PtdIns(4,5)P2 in cytokinesis pathway","1/604","12/9131",0.560344518642082,0.814703154070623,0.640204382032231,"5962",1
"WP4949","WP4949","16p11.2 proximal deletion syndrome","5/604","76/9131",0.57116037530091,0.828566732779571,0.651098563300305,"4790/5728/7186/7189/55671",5
"WP4321","WP4321","Thermogenesis","7/604","108/9131",0.578221358249172,0.834538323889489,0.655791117609409,"6195/60/11343/51422/115/5600/6605",7
"WP3869","WP3869","Cannabinoid receptor signaling","2/604","29/9131",0.580680652866878,0.834538323889489,0.655791117609409,"747/5600",2
"WP5351","WP5351","Kleefstra syndrome","2/604","29/9131",0.580680652866878,0.834538323889489,0.655791117609409,"6256/171023",2
"WP117","WP117","GPCRs, other","6/604","93/9131",0.585471782946584,0.834538323889489,0.655791117609409,"1901/9620/283383/2833/29933/9290",6
"WP2814","WP2814","Mammary gland development: puberty - stage 2 of 4","1/604","13/9131",0.589465245776656,0.834538323889489,0.655791117609409,"6776",1
"WP3876","WP3876","BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation","1/604","13/9131",0.589465245776656,0.834538323889489,0.655791117609409,"2308",1
"WP4236","WP4236","Krebs cycle disorders","1/604","13/9131",0.589465245776656,0.834538323889489,0.655791117609409,"8050",1
"WP4318","WP4318","Mitochondrial fission and fusion","1/604","13/9131",0.589465245776656,0.834538323889489,0.655791117609409,"598",1
"WP4919","WP4919","Neuroinflammation","1/604","13/9131",0.589465245776656,0.834538323889489,0.655791117609409,"4792",1
"WP4947","WP4947","Nitric oxide metabolism in cystic fibrosis","1/604","13/9131",0.589465245776656,0.834538323889489,0.655791117609409,"10196",1
"WP5171","WP5171","Leukotriene metabolic pathway","1/604","13/9131",0.589465245776656,0.834538323889489,0.655791117609409,"4363",1
"WP2884","WP2884","NRF2 pathway","9/604","141/9131",0.593629698813827,0.838411890848811,0.658835017131661,"7295/10257/6256/6513/6533/23764/9588/2950/3303",9
"WP4535","WP4535","Envelope proteins and their potential roles in EDMD physiopathology","3/604","46/9131",0.594792979752093,0.838411890848811,0.658835017131661,"115/5604/4088",3
"WP2858","WP2858","Ectoderm differentiation","9/604","142/9131",0.602244755561507,0.847070340974555,0.665638940357456,"51762/51422/6929/10257/8835/7704/7903/79658/4061",9
"WP28","WP28","Selenium metabolism and selenoproteins","3/604","47/9131",0.609577381434023,0.848179800126427,0.666510767853355,"4790/5451/1390",3
"WP5465","WP5465","Fanconi anemia","3/604","47/9131",0.609577381434023,0.848179800126427,0.666510767853355,"5728/2067/7184",3
"WP322","WP322","Osteoblast signaling","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"5156",1
"WP4724","WP4724","Omega-9 fatty acid synthesis","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"79966",1
"WP5037","WP5037","Riboflavin and CoQ disorders","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"23590",1
"WP5178","WP5178","Disorders of fructose metabolism","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"6652",1
"WP5279","WP5279","Mineralocorticoid biosynthesis","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"3290",1
"WP5280","WP5280","Glucocorticoid biosynthesis","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"3290",1
"WP5318","WP5318","Female steroid hormones in cardiomyocyte energy metabolism","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"6794",1
"WP5368","WP5368","Sulfatase and aromatase pathway","1/604","14/9131",0.616660134080111,0.848179800126427,0.666510767853355,"11309",1
"WP2875","WP2875","Constitutive androstane receptor pathway","2/604","31/9131",0.617453919411974,0.848179800126427,0.666510767853355,"6256/2308",2
"WP5402","WP5402","10q22q23 copy number variation","4/604","64/9131",0.619307372854415,0.848923453891539,0.667095140697329,"89765/4790/9126/27156",4
"WP5426","WP5426","HDAC6 interactions in the central nervous system","7/604","113/9131",0.626597062158844,0.854775164952082,0.671693491697479,"596/5581/2185/4092/5829/5879/3315",7
"WP5095","WP5095","Overview of proinflammatory and profibrotic mediators","8/604","129/9131",0.62684971566344,0.854775164952082,0.671693491697479,"3600/6351/4790/6361/6367/10148/3574/246778",8
"WP2853","WP2853","Endoderm differentiation","9/604","145/9131",0.627539726974094,0.854775164952082,0.671693491697479,"6925/115825/8554/3720/6478/2308/3198/9425/4088",9
"WP3414","WP3414","Initiation of transcription and translation elongation at the HIV-1 LTR","2/604","32/9131",0.634890215428571,0.857383389268946,0.673743068440415,"4790/4792",2
"WP1559","WP1559","Transcription factors regulate miRNAs related to cardiac hypertrophy","1/604","15/9131",0.642056347638915,0.857383389268946,0.673743068440415,"4790",1
"WP3958","WP3958","GPR40 pathway","1/604","15/9131",0.642056347638915,0.857383389268946,0.673743068440415,"5334",1
"WP4891","WP4891","COVID-19 adverse outcome pathway","1/604","15/9131",0.642056347638915,0.857383389268946,0.673743068440415,"3574",1
"WP5028","WP5028","Glycine metabolism, including IMDs","1/604","15/9131",0.642056347638915,0.857383389268946,0.673743068440415,"23479",1
"WP5152","WP5152","Iron-sulfur cluster biogenesis","1/604","15/9131",0.642056347638915,0.857383389268946,0.673743068440415,"23479",1
"WP5433","WP5433","PGK1, PKM2, KHKC/KHKA acting as protein kinases","1/604","15/9131",0.642056347638915,0.857383389268946,0.673743068440415,"5062",1
"WP550","WP550","Biogenic amine synthesis","1/604","15/9131",0.642056347638915,0.857383389268946,0.673743068440415,"43",1
"WP4258","WP4258","lncRNA in canonical Wnt signaling and colorectal cancer","6/604","99/9131",0.64683915894899,0.857383389268946,0.673743068440415,"7474/6929/1454/80326/1021/467",6
"WP2001","WP2001","miR-targeted genes in adipocytes","2/604","33/9131",0.651698154734546,0.857383389268946,0.673743068440415,"10772/10114",2
"WP422","WP422","MAPK cascade","2/604","33/9131",0.651698154734546,0.857383389268946,0.673743068440415,"5604/4214",2
"WP4553","WP4553","FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma","2/604","33/9131",0.651698154734546,0.857383389268946,0.673743068440415,"84678/8726",2
"WP4786","WP4786","Type I collagen synthesis in the context of osteogenesis imperfecta","2/604","33/9131",0.651698154734546,0.857383389268946,0.673743068440415,"3708/8792",2
"WP4875","WP4875","Disruption of postsynaptic signaling by CNV","2/604","33/9131",0.651698154734546,0.857383389268946,0.673743068440415,"9379/2902",2
"WP5344","WP5344","Cardiomyocyte signaling converging on titin","2/604","33/9131",0.651698154734546,0.857383389268946,0.673743068440415,"5578/5604",2
"WP107","WP107","Translation factors","3/604","50/9131",0.651728198874003,0.857383389268946,0.673743068440415,"1915/10209/1977",3
"WP4022","WP4022","Pyrimidine metabolism","5/604","84/9131",0.660491436254796,0.857383389268946,0.673743068440415,"51733/1807/7371/23649/25885",5
"WP4545","WP4545","Oxysterols derived from cholesterol","3/604","51/9131",0.665034842626516,0.857383389268946,0.673743068440415,"11332/3290/9420",3
"WP12","WP12","Osteoclast signaling","1/604","16/9131",0.665772666860733,0.857383389268946,0.673743068440415,"8792",1
"WP3644","WP3644","NAD+ metabolism","1/604","16/9131",0.665772666860733,0.857383389268946,0.673743068440415,"952",1
"WP4589","WP4589","Major receptors targeted by epinephrine and norepinephrine","1/604","16/9131",0.665772666860733,0.857383389268946,0.673743068440415,"115",1
